user_id_query_day_hour_map_item_brand_id,7
day_x.1,7
user_id_query_day_hour_item_price_level,7
user_id_query_day_hour_map_item_collected_level,7
user_id_query_day_item_sales_level,7
item_collected_level_mean_by_category,7
shop_star_level,6
s_day_diffTime_last,6
user_id_query_day_hour_map_context_page_id,6
user_id_query_day_hour_map_item_category_1,5
user_id_query_day_hour_map_item_price_level,5
check_item_brand_id_ratio,5
check_context_page_id_ratio,5
item_sales_level,5
user_id_query_day_hour_context_page_id,5
check_context_page_id_time_day,4
check_item_sales_level_ratio,4
user_id_query_day_item_price_level,4
user_id_query_day_hour_map_item_pv_level,4
user_id_query_day_hour_item_collected_level,3
click_user_brand_lab,3
user_id_query_day_item_collected_level,3
item_price_level_user_gender_prob,3
check_item_collected_level_ratio,3
user_id_query_day_hour_map_shop_id,2
item_price_level,2
check_item_price_level_time_day,2
day_y,2
check_item_pv_level_ratio,2
item_pv_level,1
user_id_query_day_item_pv_level,1
check_item_collected_level_time_day,1
check_item_sales_level_time_day,1
click_user_shop_lab,1
user_id_query_day_hour_map_item_sales_level,1
check_item_brand_id_time_day,1
user_id_query_day_hour_item_brand_id,1
user_id_query_day_hour_shop_id,1
user_gender_id,0
item_collected_level,0
check_item_id_time_day,0
user_id_query_day_item_brand_id,0
user_id_query_day_shop_id,0
check_shop_id_time_day,0
maphour,0
item_city_id_shop_prob,0
check_item_pv_level_time_day,0
item_category_2,0
item_price_level_item_prob,0
